Data,Horário,Evento
2024-05-22,09h,Evento - Audiência Pública na Comissão de Finanças e Tributação da Câmara dos Deputados - CFT
2024-05-22,17h,Reunião - Reunião Agência Standard and Poors
2024-05-22,18h,"Reunião - Vinicius Marques de Carvalho, Ministro da Controladoria-Geral da União (CGU)."
2024-05-22,19h,Evento - ABDIB FÓRUM 2024: Infraestrutura: Bases para a Neoindustrialização e Desenvolvimento Sustentável
2024-05-23,09h,"Reunião - Aguinaldo Ribeiro, Deputado Federal"
2024-05-23,9:30h,"Reunião - Benedita da Silva, Deputada Federal"
2024-05-23,11h,"Reunião - Vital do Rêgo, Ministro e Vice-Presidente do Tribunal de Contas da União"
2024-05-23,12h,Evento - G20 International Tax Symposium
2024-05-23,15h,"Reunião - ADIADO - Marina Silva, Ministra do Meio Ambiente e Mudança do Clima"
2024-05-23,15h,Evento - Conselho Monetário Nacional
2024-05-23,16h,"Reunião - ADIADO - Paulo Teixeira, Ministro do Desenvolvimento Agrário e Agricultura Familiar"
2024-05-23,17:45h,"Reunião - Isabel Gallotti, Ministra do Superior Tribunal da Justiça"
2024-05-24,10h,"Reunião - Márcio de Lima, Presidente da Associação Nacional dos Fabricantes de Veículos Automotores – ANFAVEA"
2024-05-24,15h,"Reunião - Jerome Cadier, CEO da Latam Brasil"
2024-05-24,16h,Evento - Entrevista ao jornal francês Le Monde - Repórter Bruno Meyerfeld
