Data,Horário,Evento
2024-05-22,09:30h,"Apresentação de cartas credenciais do Embaixador da Sérvia, Aleksandar Ristić"
2024-05-22,09:45h,"Apresentação de cartas credenciais da Embaixadora da Eslováquia, Katarína Tomková"
2024-05-22,10:00h,"Apresentação de cartas credenciais da Embaixadora de Timor-Leste, Maria Ângela Carrascalão"
2024-05-22,10:15h,"Apresentação de cartas credenciais da Embaixadora de Botsuana, Benetia Chingapane"
2024-05-22,10:30h,"Apresentação de cartas credenciais do Embaixador da Geórgia, Zurab Mchedlishvili"
2024-05-22,10:45h,"Apresentação de cartas credenciais do Embaixador de Ruanda, Lawrence Manzi"
2024-05-22,11:00h,"Apresentação de cartas credenciais do Embaixador do Benim, Boniface Vignon"
2024-05-22,11:15h,"Apresentação de cartas credenciais do Embaixador do Irã, Abdollah Nekounam Ghadirli"
2024-05-22,14:40h,"Secretário Especial para Assuntos Jurídicos da Casa Civil, Wellington César Lima"
2024-05-22,15:00h,"CEO da Uber, Dara Khosrowshahi"
2024-05-22,16:00h,"Cerimônia de Sanção do Projeto de Lei n° 1026/2024, que altera a Lei nº 14.148/2021, para estabelecer alíquotas reduzidas no âmbito do Programa Emergencial de Retomada do Setor de Eventos – Perse"
2024-05-23,10:00h,Juízes da Corte Interamericana de Direitos Humanos
2024-05-23,11:00h,"Cerimônia oficial de chegada do Presidente da República do Benim, Patrice Talon, por ocasião de sua visita ao Brasil"
2024-05-23,11:30h,"Reunião bilateral com o Presidente do Benim, Patrice Talon"
2024-05-23,12:30h,Cerimônia de Assinatura de Atos
2024-05-23,13:00h,Declaração à imprensa
2024-05-23,13:20h,"Almoço em homenagem ao Presidente do Benim, Patrice Talon, oferecido pelo Presidente Lula e pela Senhora Janja Lula da Silva"
2024-05-23,16:30h,"Ministro do Turismo, Celso Sabino"
2024-05-23,17:30h,"Chefe do Gabinete Pessoal do Presidente da República, Marco Aurélio Marcola"
2024-05-24,08:00h,Partida para Araraquara (SP)
2024-05-24,09:05h,Chegada a Araraquara (SP)
2024-05-24,09:35h,Visita à Escola Henrique Scabello para acompanhar demonstração da Ação Mais Saúde Bucal nas Escolas
2024-05-24,11:30h,Cerimônia de assinatura da Ordem de Serviço das Obras de Macrodrenagem e Reurbanização de Áreas Afetadas por Enchentes
2024-05-24,13:40h,Visita à planta de produção de etanol de segunda geração
2024-05-24,15:30h,Cerimônia de inauguração da planta de Etanol de Segunda Geração (E2G) do Bioparque Bonfim
2024-05-24,17:30h,Partida para São Paulo
2024-05-24,18:00h,Chegada a São Paulo
